Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
"Overhaul of road P-217 ""Kavkaz"" highway M-4 ""Don"" - Vladikavkaz - Grozny - Makhachkala - border with the Republic of Azerbaijan (9.4KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-217 ""Kavkaz"" highway M-4 ""Don"" - Vladikavkaz - Grozny - Makhachkala - border with the Republic of Azerbaijan km 532 + 000 - km 541 + 400 in the Republic of North Ossetia-Alania. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Caucasus Federal Road Agency and covers the whole cost of the project which is equal to $ 6.76 million. Date of award is November 27, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Juzhnaja Stroitel''Naja Kompanija"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,27/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,9.4,KM,100,0,6.76,0,Not Applicable,Not Applicable,6.76,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Caucasus Federal Road Agency,6.76,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Overhaul of the road Pavlovsky Posad, Gorodkovskaya Mishutinskoe-highway  in Pavlovsky Posad municipal district (5.57KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of the road ""of Pavlovsky Posad, Gorodkovskaya Mishutinskoe-highway ""km 0,000 km 5,570 in Pavlovsky Posad municipal district. Sponsor of the project is State Organization Moscow Region Mosavtodor and covers the whole cost of the project which is equal to $ 6.76 million. Date of award is September 05, 2017. The company chosen for the construction is Akcionernoe Obshhestvo «Moskovskaja Inzhenerno-Stroitel'Naja Kompanija».",Europe and Central Asia,Upper middle income,1,Russian Federation,,05/09/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,5.57,KM,100,0,6.76,0,Not Applicable,Not Applicable,6.76,Not Applicable,Public,State Organization Moscow Region Mosavtodor,6.76,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Implementation of major repair of the road P-402 Tyumen - Yalutorovsk - Ishim - Omsk, Omsk region (15.2KM)",SPI,Transport,Roads,Not Applicable,"The project entails the implementation of major repair of the road P-402 Tyumen - Yalutorovsk - Ishim - Omsk km 375 + 805 - km 390 + 000, Omsk region. Sponsor of the project is Federal Public Institutions Federal Highway Administration Siberia Federal Road Agency and covers the whole cost of the project which is equal to $ 6.75 million. Date of award is November 28, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Dorozhnoe Remontno-Stroitel'Noe Upravlenie #6"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,28/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,15.2,KM,100,0,6.75,0,Not Applicable,Not Applicable,6.75,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Siberia Federal Road Agency,6.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Overhaul of road P-22 ""Caspian"" highway M-4 ""Don"" - Tambov - Volgograd - Astrakhan, Tambov region (9KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-22 ""Caspian"" highway M-4 ""Don"" - Tambov - Volgograd - Astrakhan km 549 + 000 - km 558 + 000, Tambov region. Sponsor of the project is Federal Public Institutions Management Highway Moscow-Volgograd Federal Road Agency and covers the whole cost of the project which is equal to $ 6.75 million. Date of award is November 28, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Avtodor-Tambov"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,28/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,9,KM,100,0,6.75,0,Not Applicable,Not Applicable,6.75,Not Applicable,Public,Federal Public Institutions Management Highway Moscow-Volgograd Federal Road Agency,6.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Road network repairs in Kirov,SPI,Transport,Roads,Not Applicable,"The project entails the perform repairs of the road network in Kirov. Sponsor of the project is Municipal Public Institutions Directorate Of Road Sector Kirov and covers the whole cost of the project which is equal to $ 6.75 million. Date of award is May 10, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Agenstvo Razvitija Perspektivnyh Tehnologij"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,10/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.75,0,Not Applicable,Not Applicable,6.75,Not Applicable,Public,Municipal Public Institutions Directorate Of Road Sector Kirov,6.75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Construction work on the implementation of programs to improve the level of arrangement of public roads of federal significance on the subject: Road A-108 Moscow (29.6KM),SPI,Transport,Roads,Not Applicable,"The project entails the construction work on the implementation of programs to improve the level of arrangement of public roads of federal significance on the subject: ""The costs of measures to improve the level of arrangement of highways of federal importance. Artificial lighting device on the road A-108 Moscow large ring Dmitrov - Sergiev Posad - Orekhovo-- Voskresensk - Mikhnevo - Balabanovo - Ruza - Wedge - Dmitrov (Gorkovsky portion of highway to Yegoryevsky highway) in areas bp Malaya Dubna km 0 + 000 - km 0 + 200 bp Orekhovo-km 0 + 200 - km 15 + 200 bp Kabanov km 15 + 200 - 17 + 600 km, bp Likino-Dulevo km 17 + 600 - km 23 + 600 bp Korotkoff km 23 + 600 - 25 + 700 km, bp Kurovskoe km 35 + 700 - 39 + 600 km, Moscow region ""(Lot 30). Sponsor of the project is Federal Public Institutions Federal Highway Administration Central Russia Federal Road Agency and covers the whole cost of the project which is equal to $ 6.73 million. Date of award is September 04, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Kompanija Svjaz'Jenergomontazh Mo"" (Ooo ""Kompanija Svjaz'Jenergomontazh Mo"").",Europe and Central Asia,Upper middle income,1,Russian Federation,,04/09/2017,Date of Award,Greenfield,State/Provincial,Not Applicable,29.6,KM,100,0,6.73,0,Not Applicable,Not Applicable,6.73,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Central Russia Federal Road Agency,6.73,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Major repair of the road P-258 Baikal Irkutsk - Ulan-Ude - Chita, in the Trans-Baikal region (10KM)",SPI,Transport,Roads,Not Applicable,"The project entails the implementation of major repair of the road P-258 Baikal Irkutsk - Ulan-Ude - Chita km 1000 + 000 - Km 1010 + 000, in the Trans-Baikal region. Sponsor of the project is Federal Public Institutions Management Of Federal Highways In The Trans-Baikal Territory Federal Road Agency and covers the whole cost of the project which is equal to $ 6.73 million. Date of award is May 23, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju «Strojservis».",Europe and Central Asia,Upper middle income,1,Russian Federation,,23/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,10,KM,100,0,6.73,0,Not Applicable,Not Applicable,6.73,Not Applicable,Public,Federal Public Institutions Management Of Federal Highways In The Trans-Baikal Territory Federal Road Agency,6.73,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Overhaul of road P-228 Syzran - Saratov - Volgograd, Volgograd region (13KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-228 Syzran - Saratov - Volgograd km 622 + 000 - km 635 + 000, Volgograd region. Sponsor of the project is Federal Public Institutions Management Highway Moscow-Volgograd Federal Road Agency and covers the whole cost of the project which is equal to $ 6.72 million. Date of award is November 26, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Rostovskoe Dsu"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,26/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,13,KM,100,0,6.72,0,Not Applicable,Not Applicable,6.72,Not Applicable,Public,Federal Public Institutions Management Highway Moscow-Volgograd Federal Road Agency,6.72,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Overhaul of the road west from Khabarovsk through settlements Krasny Yar, Ariadne Chuguevka to Nakhodka, the Khabarovsk Territory. (11KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of the existing network of roads of general use of federal value. Overhaul of the road west from Khabarovsk through settlements Krasny Yar, Ariadne Chuguevka to Nakhodka between km 159 + 000 - km 170 + 000, the Khabarovsk Territory.. Sponsor of the project is Federal Public Institutions Federal Highway Administration Far East Federal Road Agency and covers the whole cost of the project which is equal to $ 6.72 million. Date of award is May 06, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Strojdorservis"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,06/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,11,KM,100,0,6.72,0,Not Applicable,Not Applicable,6.72,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Far East Federal Road Agency,6.72,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Roads elevated road (road overpass) for motor traffic,SPI,Transport,Roads,Not Applicable,"The project entails the roads elevated road (road overpass) for motor traffic. Sponsor of the project is Municipal Public Institutions Committee On Municipal Property Management Municipal District Education Zalarinsky and covers the whole cost of the project which is equal to $ 6.71 million. Date of award is December 25, 2017. The company chosen for the construction is Ao ""Dsio"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,25/12/2017,Date of Award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.71,0,Not Applicable,Not Applicable,6.71,Not Applicable,Public,Municipal Public Institutions Committee On Municipal Property Management Municipal District Education Zalarinsky,6.71,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Repairs of existing federal public network of roads Repair of the road M-5 Ural Moscow - Ryazan - Penza - Samara - Ufa - Chelyabinsk (38.5KM),SPI,Transport,Roads,Not Applicable,"The project entails the performing repairs of existing federal public network of roads Repair of the road M-5 Ural Moscow - Ryazan - Penza - Samara - Ufa - Chelyabinsk between km 86 + 768 - km 94 + 000 (left), Moscow region Repair of road M-5 Ural Moscow - Ryazan - Penza - Samara - Ufa - Ufa between km 86 km 94 + 768- + 000 (right), Moscow region Repair of M-5 Ural Moscow - Ryazan - Penza - Samara - Ufa - Ufa between km 94 + 000 - 101 + 500 (left), Moscow region road repair M-5 Lv al Moscow - Ryazan - Penza - Samara - Ufa - Ufa between km 94 + 000 - 101 + 500 (right), Moscow region Repair of M-5 Ural Moscow - Ryazan - Penza - Samara - Ufa - Ufa between km 101 500 - 109 + 000 (left), Moscow region Repair of the road M-5 Ural Moscow - Ryazan - Penza - Samara - Ufa - Chelyabinsk between km 101 + 500 - 109 + 000 (right), Moscow region (lot 2). Sponsor of the project is Federal Public Institutions Federal Highway Administration Central Russia Federal Road Agency and covers the whole cost of the project which is equal to $ 6.7 million. Date of award is April 21, 2017. The company chosen for the construction is Akcionernoe Obshhestvo «Mostotrest-Servis» (Ao «Mtts») .",Europe and Central Asia,Upper middle income,1,Russian Federation,,21/04/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,38.5,KM,100,0,6.7,0,Not Applicable,Not Applicable,6.7,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Central Russia Federal Road Agency,6.7,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Repair of the road M-2 ""Crimea"" Moscow - Tula - Oryol - Kursk - Belgorod - Ukrainian border, Oryol Oblast (25.04KM)",SPI,Transport,Roads,Not Applicable,"The project entails the repair of the road M-2 ""Crimea"" Moscow - Tula - Oryol - Kursk - Belgorod - Ukrainian border km 304 + 300 - km 329 + 343, Oryol Oblast. Sponsor of the project is Federal Public Institutions Management Motorway Moscow-Kharkov Federal Road Agency and covers the whole cost of the project which is equal to $ 6.67 million. Date of award is December 12, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Stroitel''Naja Firma ""Strojservis"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,12/12/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,25.04,KM,100,0,6.67,0,Not Applicable,Not Applicable,6.67,Not Applicable,Public,Federal Public Institutions Management Motorway Moscow-Kharkov Federal Road Agency,6.67,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Construction of Gravel Road - Panay East-West Road, Iloilo",SPI,Transport,Roads,Not Applicable,"The project entails the construction of gravel road - Panay East-West Road, Iloilo.  Works are located in the Philippines. Sponsor is Department of Public Works and Highways - Region VI. Financing comprises $ 6.66 million provided by the sponsor. IBC International Builders Corporation will construct the project. Contract was awarded on June 30, 2017.",East Asia and Pacific,Lower middle income,1,Philippines,,30/06/2017,Date of award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.66,Not Applicable,Not Applicable,Not Applicable,6.66,Not Applicable,Public,Department of Public Works and Highways - Region VI,6.66,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,3.05E+11,103320222,2.24E+11,3.14E+11
Overhaul of road P-404 Tyumen - Tobolsk - Khanty-Mansiysk in Tyumen region (9KM),SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-404 Tyumen - Tobolsk - Khanty-Mansiysk km 271 + 000 - km 280 + 000 in Tyumen region. Sponsor of the project is Federal Public Institutions Federal Highway Administration Ural Federal Road Agency and covers the whole cost of the project which is equal to $ 6.64 million. Date of award is August 21, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Dorozhnoe Jekspluatacionnoe Predprijatie # 8"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,21/08/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,9,KM,100,0,6.64,0,Not Applicable,Not Applicable,6.64,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Ural Federal Road Agency,6.64,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
